,City,Cloudiness (%),Humidity (%),Latitude,Longitude,Proximity to Equator,Temperature (F),Wind Speed (mph)
836,Svit,0,93,49.06,20.2,49.06,55.4,6.93
837,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
838,Lefka,0,72,39.1,22.35,39.1,60.8,5.82
839,Copaceni,0,88,45.0,23.98,45.0,57.74,2.59
840,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
841,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
842,Barrow,64,53,-38.31,-60.23,38.31,49.47,11.9
843,Los Llanos de Aridane,0,68,28.66,-17.92,28.66,66.2,14.99
844,Bereznik,24,60,62.86,42.71,62.86,35.87,8.97
845,Kruisfontein,0,72,-34.0,24.73,34.0,60.98,14.0
846,Constitucion,75,22,23.99,-104.67,23.99,95.0,17.22
847,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
848,Busselton,76,100,-33.64,115.35,33.64,54.51,4.63
849,Rawson,0,83,-43.3,-65.11,43.3,27.86,2.82
850,Kapaa,75,69,22.08,-159.32,22.08,80.6,14.99
851,Tasiilaq,80,96,65.61,-37.64,65.61,33.8,9.17
852,Hithadhoo,64,100,-0.6,73.08,0.6,83.67,15.14
853,Hobart,75,81,-42.88,147.33,42.88,42.8,10.29
854,Clyde River,90,100,70.47,-68.59,70.47,32.0,12.75
855,Hilo,90,78,19.71,-155.08,19.71,73.04,16.11
856,Xichang,92,99,27.88,102.25,27.88,51.98,1.25
857,Aklavik,75,47,68.22,-135.01,68.22,64.42,11.41
858,Punta Arenas,75,65,-53.16,-70.91,53.16,44.6,11.41
859,Tuatapere,0,100,-46.13,167.69,46.13,48.56,2.93
860,Avera,40,74,33.19,-82.53,33.19,86.02,5.82
861,Tuktoyaktuk,75,86,69.44,-133.03,69.44,50.0,3.36
862,Cabedelo,0,83,-6.97,-34.84,6.97,75.2,4.7
863,Mayor Pablo Lagerenza,100,99,-19.93,-60.77,19.93,69.89,4.83
864,Tiksi,44,99,71.64,128.87,71.64,27.06,3.96
865,Cape Town,75,82,-33.93,18.42,33.93,59.0,35.57
866,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
867,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
868,Hamilton,90,78,32.3,-64.78,32.3,77.0,11.41
869,Thompson,90,46,55.74,-97.86,55.74,48.2,12.75
870,Bredasdorp,0,48,-34.53,20.04,34.53,62.6,16.11
871,Hermanus,32,72,-34.42,19.24,34.42,58.2,22.19
872,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
873,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
874,Cape Town,75,82,-33.93,18.42,33.93,59.0,35.57
875,Bredasdorp,0,48,-34.53,20.04,34.53,62.6,16.11
876,Oranjestad,20,74,12.52,-70.03,12.52,84.2,25.28
877,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
878,Kapaa,75,69,22.08,-159.32,22.08,80.6,14.99
879,Vaini,88,97,15.34,74.49,15.34,75.21,3.29
880,Oum Hadjer,0,46,13.3,19.7,13.3,80.33,9.53
881,Khatanga,92,100,71.98,102.47,71.98,35.33,14.0
882,Atuona,20,100,-9.8,-139.03,9.8,79.89,14.58
883,Rikitea,8,100,-23.12,-134.97,23.12,75.66,5.86
884,Saint Anthony,20,52,43.97,-111.68,43.97,65.57,6.93
885,Kapaa,75,69,22.08,-159.32,22.08,80.6,14.99
886,Namatanai,64,100,-3.66,152.44,3.66,81.23,4.94
887,Pontianak,76,100,-0.02,109.34,0.02,78.17,4.05
888,Provideniya,90,75,64.42,-173.23,64.42,42.8,6.71
889,Pevek,32,86,69.7,170.27,69.7,35.97,16.26
890,Mataura,0,68,-46.19,168.86,46.19,17.79,3.06
891,Hobart,75,81,-42.88,147.33,42.88,42.8,10.29
892,Seoul,1,100,37.57,126.98,37.57,61.77,2.39
893,Dikson,36,90,73.51,80.55,73.51,19.59,4.52
894,Albany,90,69,42.65,-73.75,42.65,72.95,11.41
895,Ialibu,44,89,-6.28,143.99,6.28,61.16,2.37
896,Bethel,90,57,60.79,-161.76,60.79,50.0,4.7
897,Buta,12,90,2.79,24.73,2.79,74.4,3.51
898,Grindavik,90,86,63.84,-22.43,63.84,41.95,6.93
899,Kapaa,75,69,22.08,-159.32,22.08,80.6,14.99
900,Lata,0,85,30.78,78.62,30.78,53.16,1.95
901,Payo,92,98,-3.75,103.64,3.75,72.5,3.71
902,New Norfolk,75,81,-42.78,147.06,42.78,42.8,10.29
903,Albany,90,69,42.65,-73.75,42.65,72.95,11.41
904,Shasta Lake,20,40,40.68,-122.36,40.68,67.37,10.29
905,Kodiak,20,36,39.95,-94.76,39.95,93.2,5.82
906,Bethel,90,57,60.79,-161.76,60.79,50.0,4.7
907,Znamenskoye,68,62,57.13,73.82,57.13,54.32,12.44
908,Vaini,88,97,15.34,74.49,15.34,75.21,3.29
